Date,SPX Open,SPX Low,SPX High,SPX Close
07/08/2020,3344.00,3340.00,3352.00,3348.00
06/08/2020,3323.17,3318.14,3351.03,3349.16
05/08/2020,3317.37,3317.37,3330.77,3327.77
04/08/2020,3289.92,3286.37,3306.84,3306.51
03/08/2020,3288.26,3284.53,3302.73,3294.61
31/07/2020,3270.45,3220.26,3272.17,3271.12
30/07/2020,3231.76,3204.13,3250.92,3246.22
29/07/2020,3227.22,3227.22,3264.74,3258.44
28/07/2020,3234.27,3216.17,3243.72,3218.44
27/07/2020,3219.84,3214.25,3241.43,3239.41
24/07/2020,3218.58,3200.05,3227.26,3215.63
23/07/2020,3271.64,3222.66,3279.99,3235.66
22/07/2020,3254.86,3253.10,3279.32,3276.02
21/07/2020,3268.52,3247.77,3277.29,3257.30
20/07/2020,3224.29,3215.16,3258.61,3251.84
17/07/2020,3224.21,3205.65,3233.52,3224.73
16/07/2020,3208.36,3198.59,3220.39,3215.57
15/07/2020,3225.98,3200.76,3238.28,3226.56
14/07/2020,3141.11,3127.66,3200.95,3197.52
13/07/2020,3205.08,3149.43,3235.32,3155.22
10/07/2020,3152.47,3136.22,3186.82,3185.04
09/07/2020,3176.17,3115.70,3179.78,3152.05
08/07/2020,3153.07,3136.53,3171.80,3169.94
07/07/2020,3166.44,3142.93,3184.15,3145.32
06/07/2020,3155.29,3155.29,3182.59,3179.72
03/07/2020,3125.00,3119.00,3153.00,3129.00
02/07/2020,3143.64,3124.52,3165.81,3130.01
01/07/2020,3105.92,3101.17,3128.44,3115.86
30/06/2020,3050.20,3047.83,3111.51,3100.29
29/06/2020,3018.59,2999.74,3053.89,3053.24
26/06/2020,3073.20,3004.63,3073.73,3009.05
25/06/2020,3046.60,3024.01,3086.25,3083.76
24/06/2020,3114.40,3032.13,3115.01,3050.33
23/06/2020,3138.70,3127.12,3154.90,3131.29
22/06/2020,3094.42,3079.39,3120.92,3117.86
19/06/2020,3140.29,3083.11,3155.53,3097.74
18/06/2020,3101.64,3093.51,3120.00,3115.34
17/06/2020,3136.13,3108.03,3141.16,3113.49
16/06/2020,3131.00,3076.06,3153.45,3124.74
15/06/2020,2993.76,2965.66,3079.76,3066.59
12/06/2020,3071.04,2984.47,3088.42,3041.31
11/06/2020,3123.53,2999.49,3123.53,3002.10
10/06/2020,3213.42,3181.49,3223.27,3190.14
09/06/2020,3213.32,3193.11,3222.71,3207.18
08/06/2020,3199.92,3196.00,3233.13,3232.39
05/06/2020,3163.84,3163.84,3211.72,3193.93
04/06/2020,3111.56,3090.41,3128.91,3112.35
03/06/2020,3098.90,3098.90,3130.94,3122.87
02/06/2020,3064.78,3051.64,3081.07,3080.82
01/06/2020,3038.78,3031.54,3062.18,3055.73
29/05/2020,3025.17,2998.61,3049.17,3044.31
28/05/2020,3046.61,3023.40,3068.67,3029.73
27/05/2020,3015.65,2969.75,3036.25,3036.13
26/05/2020,3004.08,2988.17,3021.72,2991.77
25/05/2020,2993.00,2960.00,2995.00,2955.45
22/05/2020,2948.05,2933.59,2956.76,2955.45
21/05/2020,2969.95,2938.57,2978.50,2948.51
20/05/2020,2953.63,2953.63,2980.29,2971.61
19/05/2020,2948.59,2922.35,2964.21,2922.94
18/05/2020,2913.86,2913.86,2968.09,2953.91
15/05/2020,2829.95,2816.78,2865.01,2863.70
14/05/2020,2794.54,2766.64,2852.80,2852.50
13/05/2020,2865.86,2793.15,2874.14,2820.00
12/05/2020,2939.50,2869.59,2945.82,2870.12
11/05/2020,2915.46,2903.44,2944.25,2930.32
08/05/2020,2908.83,2902.88,2932.16,2929.80
